Numero de Orden
"['CA-2018-147039' 'CA-2016-121391' 'CA-2015-128055' 'CA-2017-103982'
 'CA-2015-138100']"
"['CA-2017-126613' 'CA-2016-140921' 'CA-2015-158064' 'CA-2016-109939'
 'CA-2017-131065' 'CA-2015-130729' 'CA-2016-114503' 'CA-2018-100230'
 'US-2018-169488']"
['CA-2018-114412' 'CA-2015-155271' 'CA-2017-121671' 'CA-2017-114601']
"['CA-2015-154963' 'CA-2017-147137' 'CA-2017-131205' 'CA-2018-157196'
 'CA-2015-143210' 'CA-2016-110863']"
['CA-2015-156587' 'CA-2015-152905' 'CA-2017-140935']
"['CA-2017-129714' 'CA-2017-161207' 'US-2017-108637' 'CA-2018-134173'
 'CA-2018-159688' 'CA-2016-150511' 'CA-2018-107174' 'CA-2018-118213']"
"['US-2017-122245' 'CA-2018-101042' 'CA-2018-126788' 'CA-2015-103100'
 'CA-2018-121643' 'CA-2017-147431' 'CA-2018-153822' 'CA-2017-117121'
 'CA-2016-163181' 'CA-2018-140781']"
"['CA-2018-120761' 'CA-2018-158876' 'CA-2016-168186' 'CA-2017-147970'
 'CA-2015-169061']"
"['CA-2016-131534' 'CA-2018-144932' 'CA-2018-131212' 'CA-2016-115945'
 'US-2015-139500' 'CA-2018-145737' 'CA-2016-144043' 'CA-2018-126634']"
"['CA-2018-127705' 'US-2017-158708' 'CA-2018-155873' 'CA-2016-110093'
 'CA-2017-151155' 'CA-2018-126662' 'CA-2017-151323' 'CA-2016-142055'
 'CA-2015-122679']"
['US-2018-155425' 'CA-2015-115336' 'CA-2016-111234' 'CA-2016-158323']
['CA-2015-129924' 'US-2018-158218' 'CA-2017-144400']
"['CA-2018-141789' 'CA-2016-164441' 'CA-2018-158729' 'CA-2017-163573'
 'CA-2017-116232' 'US-2015-167262' 'US-2016-106495']"
"['CA-2018-157987' 'CA-2018-169411' 'CA-2018-136007' 'CA-2016-100734'
 'CA-2018-101637']"
"['CA-2018-135650' 'US-2015-122021' 'CA-2017-161928' 'CA-2017-134544'
 'CA-2017-158617']"
"['US-2015-152030' 'CA-2018-127432' 'CA-2016-124268' 'CA-2016-120439'
 'CA-2018-160416' 'CA-2018-143245' 'US-2018-136784' 'CA-2015-128062']"
"['US-2018-139969' 'CA-2017-146934' 'CA-2017-139234' 'CA-2018-167871'
 'CA-2016-168634' 'CA-2018-125269' 'CA-2017-126270']"
['CA-2016-114300' 'CA-2017-115588' 'CA-2015-103702' 'CA-2015-114181']
"['CA-2015-167164' 'CA-2018-139416' 'CA-2017-105732' 'CA-2015-103058'
 'CA-2016-153738']"
['CA-2015-147298' 'CA-2018-161823' 'CA-2017-143749' 'CA-2016-166800']
"['CA-2018-107748' 'CA-2017-104150' 'CA-2018-104927' 'CA-2018-142909'
 'CA-2018-108287']"
"['CA-2017-109820' 'CA-2017-136483' 'CA-2015-125171' 'CA-2018-107244'
 'CA-2015-158470']"
"['CA-2018-132976' 'CA-2016-142692' 'CA-2016-156146' 'CA-2016-118738'
 'CA-2016-104241' 'CA-2017-168921' 'CA-2016-111948']"
['CA-2015-167850' 'CA-2015-158281' 'CA-2016-164084' 'CA-2016-169572']
"['CA-2017-108987' 'CA-2018-101483' 'CA-2016-137512' 'CA-2018-163335'
 'US-2018-104094' 'CA-2017-133368' 'US-2018-146822']"
['US-2015-158638' 'CA-2016-110947' 'CA-2018-126123' 'CA-2016-113222']
"['US-2015-119137' 'CA-2016-148376' 'CA-2016-130785' 'CA-2017-158435'
